name	pocet	procent	iczuj	kandidatu
sklenar	4	0.09090909090909091	581119.tsv	44
hrubos	4	0.2222222222222222	592153.tsv	18
filip	4	0.08888888888888889	580651.tsv	45
kadlcek	4	0.06666666666666667	592145.tsv	60
novak	4	0.05555555555555555	596868.tsv	72
vlasak	4	0.1111111111111111	531961.tsv	36
ungr	4	0.07272727272727272	531995.tsv	55
szymeczek	4	0.05333333333333334	507091.tsv	75
mikulk	4	0.14285714285714285	579271.tsv	28
havelk	4	0.08888888888888889	591904.tsv	45
hasal	4	0.14814814814814814	532339.tsv	27
novotn	4	0.1111111111111111	579106.tsv	36
moul	4	0.14814814814814814	578797.tsv	27
radimersk	4	0.06666666666666667	578479.tsv	60
kolar	4	0.13333333333333333	577987.tsv	30
kmosek	4	0.05333333333333334	577944.tsv	75
novak	4	0.05333333333333334	591629.tsv	75
ser	4	0.14814814814814814	544931.tsv	27
zapp	4	0.2222222222222222	599034.tsv	18
mensik	4	0.08163265306122448	576999.tsv	49
rehak	4	0.15384615384615385	576875.tsv	26
kubicek	4	0.10256410256410256	576786.tsv	39
seidel	4	0.05333333333333334	576689.tsv	75
moznar	4	0.08888888888888889	576450.tsv	45
mejzlik	4	0.4444444444444444	591424.tsv	9
svarc	4	0.07272727272727272	545431.tsv	55
hosek	4	0.10526315789473684	591173.tsv	38
horak	4	0.05555555555555555	532991.tsv	72
tlustos	4	0.2857142857142857	572632.tsv	14
puchnar	4	0.36363636363636365	590894.tsv	11
neuwirth	4	0.07272727272727272	590843.tsv	55
jakl	4	0.06060606060606061	545619.tsv	66
chytk	4	0.23529411764705882	590797.tsv	17
skod	4	0.05405405405405406	590673.tsv	74
novak	4	0.05970149253731343	571491.tsv	67
sobotk	4	0.08888888888888889	596701.tsv	45
ludvik	4	0.1111111111111111	570834.tsv	36
vejvod	4	0.06557377049180328	570478.tsv	61
jurik	4	0.14285714285714285	545902.tsv	28
krys	4	0.05333333333333334	590576.tsv	75
dolezal	4	0.07272727272727272	546038.tsv	55
kopeck	4	0.08888888888888889	546071.tsv	45
kovar	4	0.09090909090909091	590517.tsv	44
tesar	4	0.05333333333333334	546097.tsv	75
saland	4	0.08695652173913043	546101.tsv	46
kubat	4	0.4444444444444444	546216.tsv	9
kohout	4	0.16	570001.tsv	25
jurack	4	0.21052631578947367	596647.tsv	19
precechtel	4	0.12121212121212122	589608.tsv	33
poklud	4	0.0625	569631.tsv	64
dvorak	4	0.3333333333333333	546534.tsv	12
hanzl	4	0.08888888888888889	546631.tsv	45
dostal	4	0.13333333333333333	589560.tsv	30
kobylk	4	0.36363636363636365	513709.tsv	11
drobn	4	0.16	569551.tsv	25
gronych	4	0.1111111111111111	569437.tsv	36
matur	4	0.14814814814814814	569305.tsv	27
minar	4	0.14814814814814814	589276.tsv	27
brabec	4	0.058823529411764705	569186.tsv	68
petr	4	0.07272727272727272	547115.tsv	55
vacek	4	0.2857142857142857	569071.tsv	14
lizal	4	0.05333333333333334	589217.tsv	75
cihlar	4	0.36363636363636365	568520.tsv	11
novak	4	0.05128205128205128	547263.tsv	78
strnad	4	0.06779661016949153	534099.tsv	59
zdaril	4	0.13333333333333333	568392.tsv	30
komarek	4	0.1111111111111111	568376.tsv	36
konecn	4	0.13793103448275862	588806.tsv	29
pivonk	4	0.36363636363636365	534170.tsv	11
dudek	4	0.06666666666666667	568228.tsv	60
kollar	4	0.07407407407407407	567841.tsv	54
velet	4	0.25	547956.tsv	16
filip	4	0.10810810810810811	547981.tsv	37
rob	4	0.18181818181818182	567612.tsv	22
kraus	4	0.05333333333333334	567311.tsv	75
bles	4	0.05405405405405406	588768.tsv	74
vavr	4	0.1111111111111111	566501.tsv	36
malinak	4	0.2857142857142857	566411.tsv	14
helebrant	4	0.26666666666666666	566390.tsv	15
dvorak	4	0.05333333333333334	549231.tsv	75
jelinek	4	0.05405405405405406	534633.tsv	74
seker	4	0.07142857142857142	565831.tsv	56
sisk	4	0.1111111111111111	588733.tsv	36
postelt	4	0.06666666666666667	534790.tsv	60
fengl	4	0.08888888888888889	565067.tsv	45
kosatk	4	0.10810810810810811	549495.tsv	37
man	4	0.06666666666666667	549533.tsv	60
smid	4	0.2222222222222222	549541.tsv	18
paldus	4	0.07272727272727272	563749.tsv	55
novak	4	0.09302325581395349	549754.tsv	43
poul	4	0.10810810810810811	596574.tsv	37
peterk	4	0.05333333333333334	549843.tsv	75
novotn	4	0.08888888888888889	535028.tsv	45
kriz	4	0.07407407407407407	563498.tsv	54
novotn	4	0.1111111111111111	588431.tsv	36
polak	4	0.3076923076923077	550051.tsv	13
matul	4	0.18181818181818182	588181.tsv	22
jemelk	4	0.06666666666666667	514152.tsv	60
vojtisek	4	0.09302325581395349	550167.tsv	43
habr	4	0.4444444444444444	562726.tsv	9
slam	4	0.25	562181.tsv	16
rakousk	4	0.21052631578947367	562033.tsv	19
koc	4	0.2222222222222222	561622.tsv	18
belask	4	0.14814814814814814	535184.tsv	27
leger	4	0.21052631578947367	535192.tsv	19
zedek	4	0.1111111111111111	514471.tsv	36
bauer	4	0.08888888888888889	550582.tsv	45
packan	4	0.16666666666666666	561002.tsv	24
petr	4	0.3076923076923077	587869.tsv	13
ml.	4	0.07017543859649122	587745.tsv	57
poukar	4	0.4444444444444444	587583.tsv	9
kleck	4	0.13333333333333333	551392.tsv	30
novak	4	0.36363636363636365	551414.tsv	11
vavr	4	0.21052631578947367	551503.tsv	19
penkav	4	0.25	559768.tsv	16
berbr	4	0.13333333333333333	559067.tsv	30
jun	4	0.07692307692307693	557099.tsv	52
stec	4	0.08888888888888889	557048.tsv	45
kopack	4	0.23529411764705882	556921.tsv	17
leps	4	0.07272727272727272	556386.tsv	55
pobezal	4	0.14285714285714285	551813.tsv	28
mruzik	4	0.16	551864.tsv	25
neshod	4	0.2	551902.tsv	20
zatloukal	4	0.05333333333333334	535532.tsv	75
bejvl	4	0.1111111111111111	555941.tsv	36
onderk	4	0.14814814814814814	555274.tsv	27
klimes	4	0.4444444444444444	587575.tsv	9
gregor	4	0.10810810810810811	554847.tsv	37
plank	4	0.056338028169014086	554588.tsv	71
vytisk	4	0.05333333333333334	554561.tsv	75
palick	4	0.05333333333333334	554375.tsv	75
vesel	4	0.06666666666666667	596256.tsv	60
tich	4	0.06666666666666667	554243.tsv	60
stuchl	4	0.05333333333333334	554235.tsv	75
bohac	4	0.14814814814814814	552321.tsv	27
pech	4	0.4444444444444444	586927.tsv	9
plach	4	0.06666666666666667	586790.tsv	60
voln	4	0.10810810810810811	552569.tsv	37
arnos	4	0.07142857142857142	504246.tsv	56
uricar	4	0.18181818181818182	586684.tsv	22
fojtik	4	0.09090909090909091	586609.tsv	44
prikask	4	0.05128205128205128	586510.tsv	78
chlup	4	0.06060606060606061	552739.tsv	66
utikal	4	0.08888888888888889	504441.tsv	45
kaufner	4	0.06666666666666667	553913.tsv	60
toman	4	0.8	553883.tsv	5
bohacek	3	0.12	581828.tsv	25
vach	3	0.1	552992.tsv	30
korand	3	0.06666666666666667	553077.tsv	45
schwan	3	0.2	553191.tsv	15
kubicek	3	0.42857142857142855	553212.tsv	7
hrusk	3	0.1	553417.tsv	30
